endTime,startTime
1488979500000,1488953400000
1489059780000,1489043160000
1489234080000,1489224000000
1489407540000,1489387020000
1489499820000,1489468080000
1489578480000,1489555500000
1489748880000,1489721700000
1489840800000,1489818300000
1489914840000,1489895820000
1489923600000,1489916100000
1490080560000,1490073240000
1490095140000,1490081280000
1490188860000,1490174280000
1490280480000,1490248800000
1490437800000,1490415420000
1490595840000,1490579460000
1490606880000,1490599860000
1490617080000,1490611200000
1490787960000,1490761200000
1490864700000,1490849640000
1490945160000,1490932680000
1491034500000,1491020580000
1491078060000,1491072240000
1491138000000,1491115140000
1491189960000,1491184980000
1491222600000,1491192660000
1491478020000,1491451680000
